statename,state,Year,Month,pop,laborforce_participation,Employed_prct,unemp_rate
New Jersey,NJ,1985,5,5859000,65.5,61.7,5.7
New Mexico,NM,1985,5,1024000,63.1,57.8,8.4
New York,NY,1985,5,13679000,60.5,56.5,6.7
North Carolina,NC,1985,5,4661000,66.3,62.5,5.7
North Dakota,ND,1985,5,487000,68.2,64.4,5.6
Ohio,OH,1985,5,8071000,63.6,58,8.9
Oklahoma,OK,1985,5,2404000,65,60.3,7.2
Oregon,OR,1985,5,2024000,65.1,59.2,9.1
Pennsylvania,PA,1985,5,9199000,60.2,55.3,8.2
Rhode Island,RI,1985,5,747000,66.5,63.3,4.8
South Carolina,SC,1985,5,2423000,63.7,59.2,7
South Dakota,SD,1985,5,506000,68.3,64.9,4.9
Tennessee,TN,1985,5,3592000,62.7,57.7,8.1
Texas,TX,1985,5,11727000,68.4,63.6,6.9
Utah,UT,1985,5,1061000,68.6,64.4,6.1
Vermont,VT,1985,5,401000,69.1,65.7,4.8
Virginia,VA,1985,5,4204000,68,64.2,5.6
Washington,WA,1985,5,3250000,64.3,58.8,8.5
West Virginia,WV,1985,5,1464000,51.9,44.9,13.5
Wisconsin,WI,1985,5,3570000,66.5,61.7,7.2
Wyoming,WY,1985,5,358000,70.2,65.6,6.7
Alabama,AL,1985,6,2968000,60.5,55,9
Alaska,AK,1985,6,343000,73.3,66.2,9.7
Arizona,AZ,1985,6,2351000,62.9,58.8,6.5
Arkansas,AR,1985,6,1747000,60.1,54.9,8.7
California,CA,1985,6,19634000,66,61.2,7.3
Colorado,CO,1985,6,2385000,71.9,67.5,6
Connecticut,CT,1985,6,2469000,69.3,65.8,5
Delaware,DE,1985,6,471000,67.2,63.7,5.2
D.C.,DC,1985,6,484000,66.8,61.1,8.4
Florida,FL,1985,6,8901000,59.8,56.2,6.1
Georgia,GA,1985,6,4359000,66,61.5,6.8
Hawaii,HI,1985,6,730000,65.5,62,5.4
Idaho,ID,1985,6,699000,66.8,61.5,7.9
Illinois,IL,1985,6,8632000,65.6,59.6,9.2
Indiana,IN,1985,6,4090000,66.3,61,8
Iowa,IA,1985,6,2149000,65.5,60.6,7.5
Kansas,KS,1985,6,1791000,68.5,65,5
Kentucky,KY,1985,6,2745000,61.7,56,9.2
Louisiana,LA,1985,6,3197000,62,54.9,11.5
Maine,ME,1985,6,874000,62.9,59.5,5.4
Maryland,MD,1985,6,3338000,68.2,65,4.6
Massachusetts,MA,1985,6,4532000,67.3,64.6,4
Michigan,MI,1985,6,6791000,64,57.5,10.2
Minnesota,MN,1985,6,3118000,71.4,67.1,5.9
Mississippi,MS,1985,6,1867000,60.1,53.9,10.3
Missouri,MO,1985,6,3774000,64.9,60.6,6.6
Montana,MT,1985,6,604000,66.7,61.7,7.6
Nebraska,NE,1985,6,1171000,68.9,65.3,5.2
Nevada,NV,1985,6,722000,71.6,66,7.8
New Hampshire,NH,1985,6,756000,71.4,68.7,3.8
New Jersey,NJ,1985,6,5861000,65.4,61.7,5.6
New Mexico,NM,1985,6,1025000,63.2,57.9,8.4
New York,NY,1985,6,13683000,60.6,56.6,6.6
North Carolina,NC,1985,6,4669000,66.3,62.5,5.6
North Dakota,ND,1985,6,486000,68.4,64.6,5.6
Ohio,OH,1985,6,8075000,63.7,58,8.9
Oklahoma,OK,1985,6,2402000,64.9,60.3,7.1
Oregon,OR,1985,6,2023000,65.1,59.3,8.9
Pennsylvania,PA,1985,6,9199000,60.3,55.4,8.1
Rhode Island,RI,1985,6,748000,66.5,63.4,4.7
South Carolina,SC,1985,6,2428000,63.8,59.2,7.2
South Dakota,SD,1985,6,505000,68.4,65.1,4.9
Tennessee,TN,1985,6,3597000,62.6,57.5,8.1
Texas,TX,1985,6,11746000,68.3,63.4,7.1
Utah,UT,1985,6,1062000,68.7,64.6,6.1
Vermont,VT,1985,6,402000,69.2,65.8,4.8
Virginia,VA,1985,6,4208000,67.9,64.1,5.7
Washington,WA,1985,6,3252000,64.3,58.9,8.4
West Virginia,WV,1985,6,1463000,51.8,44.9,13.3
Wisconsin,WI,1985,6,3572000,66.4,61.6,7.2
Wyoming,WY,1985,6,357000,70.6,65.8,6.8
Alabama,AL,1985,7,2970000,60.5,55.1,8.9
Alaska,AK,1985,7,343000,73.4,66.3,9.7
Arizona,AZ,1985,7,2358000,62.9,58.8,6.6
Arkansas,AR,1985,7,1748000,60.1,54.9,8.7
California,CA,1985,7,19675000,65.9,61.2,7.3
Colorado,CO,1985,7,2387000,71.7,67.3,6.1
Connecticut,CT,1985,7,2471000,69.3,65.9,4.9
Delaware,DE,1985,7,472000,67.3,63.9,5
D.C.,DC,1985,7,484000,66.7,61.1,8.3
Florida,FL,1985,7,8922000,59.7,56.1,6
Georgia,GA,1985,7,4370000,65.9,61.5,6.7
Hawaii,HI,1985,7,731000,65.5,62,5.4
Idaho,ID,1985,7,699000,66.8,61.5,7.9
Illinois,IL,1985,7,8633000,65.6,59.5,9.2
Indiana,IN,1985,7,4091000,66.3,61.1,7.9
Iowa,IA,1985,7,2148000,65.5,60.6,7.5
Kansas,KS,1985,7,1790000,68.5,65,5
Kentucky,KY,1985,7,2746000,61.6,55.9,9.3
Louisiana,LA,1985,7,3198000,62,54.8,11.6
Maine,ME,1985,7,875000,62.8,59.4,5.3
Maryland,MD,1985,7,3342000,68.2,65.1,4.6
Massachusetts,MA,1985,7,4533000,67.3,64.6,4
Michigan,MI,1985,7,6795000,64.1,57.6,10.1
Minnesota,MN,1985,7,3119000,71.5,67.2,6
Mississippi,MS,1985,7,1869000,60.2,54,10.3
Missouri,MO,1985,7,3775000,65.1,60.8,6.6
Montana,MT,1985,7,604000,66.7,61.7,7.6
Nebraska,NE,1985,7,1170000,68.9,65.3,5.2
Nevada,NV,1985,7,725000,71.3,65.8,7.7
New Hampshire,NH,1985,7,758000,71.4,68.8,3.7
New Jersey,NJ,1985,7,5863000,65.4,61.8,5.6
New Mexico,NM,1985,7,1026000,63.2,58,8.3
New York,NY,1985,7,13687000,60.7,56.7,6.6
North Carolina,NC,1985,7,4678000,66.3,62.7,5.5
North Dakota,ND,1985,7,486000,68.5,64.6,5.6
Ohio,OH,1985,7,8078000,63.8,58,9
Oklahoma,OK,1985,7,2400000,65,60.4,7.1
Oregon,OR,1985,7,2023000,65.2,59.5,8.7
Pennsylvania,PA,1985,7,9199000,60.3,55.5,8
Rhode Island,RI,1985,7,748000,66.6,63.5,4.6
South Carolina,SC,1985,7,2432000,63.9,59.3,7.3
South Dakota,SD,1985,7,505000,68.4,65.1,4.9
Tennessee,TN,1985,7,3602000,62.5,57.5,8
Texas,TX,1985,7,11765000,68.2,63.3,7.2
Utah,UT,1985,7,1063000,68.8,64.7,6
Vermont,VT,1985,7,402000,69.4,66.1,4.8
Virginia,VA,1985,7,4213000,67.8,64,5.7
Washington,WA,1985,7,3254000,64.3,59,8.3
West Virginia,WV,1985,7,1463000,51.7,44.9,13.1
Wisconsin,WI,1985,7,3573000,66.4,61.6,7.2
Wyoming,WY,1985,7,357000,70.7,65.8,7
Alabama,AL,1985,8,2973000,60.5,55.2,8.8
Alaska,AK,1985,8,344000,73.3,66.2,9.7
Arizona,AZ,1985,8,2364000,63,58.8,6.6
Arkansas,AR,1985,8,1749000,60.2,54.9,8.8
California,CA,1985,8,19708000,65.9,61.2,7.2
Colorado,CO,1985,8,2390000,71.6,67.1,6.2
Connecticut,CT,1985,8,2472000,69.3,66,4.7
Delaware,DE,1985,8,473000,67.4,64.1,4.9
D.C.,DC,1985,8,484000,66.6,61.2,8.1
Florida,FL,1985,8,8943000,59.7,56.2,6
Georgia,GA,1985,8,4377000,65.9,61.6,6.5
Hawaii,HI,1985,8,732000,65.6,62,5.5
Idaho,ID,1985,8,7.00E+05,66.6,61.4,7.9
Illinois,IL,1985,8,8637000,65.6,59.5,9.3
Indiana,IN,1985,8,4093000,66.4,61.3,7.7
Iowa,IA,1985,8,2147000,65.6,60.7,7.5
Kansas,KS,1985,8,1792000,68.4,64.9,5.1
Kentucky,KY,1985,8,2747000,61.7,55.8,9.4
Louisiana,LA,1985,8,3200000,62,54.8,11.7
Maine,ME,1985,8,876000,62.8,59.4,5.3
Maryland,MD,1985,8,3346000,68.2,65.1,4.5
Massachusetts,MA,1985,8,4536000,67.3,64.6,3.9
Michigan,MI,1985,8,6800000,64.1,57.7,10
Minnesota,MN,1985,8,3123000,71.5,67.1,6.1
Mississippi,MS,1985,8,1869000,60.4,54.2,10.4
Missouri,MO,1985,8,3779000,65.2,61,6.5
Montana,MT,1985,8,604000,66.7,61.6,7.6
Nebraska,NE,1985,8,1171000,68.9,65.3,5.3
Nevada,NV,1985,8,726000,71.3,65.9,7.7
New Hampshire,NH,1985,8,760000,71.4,68.9,3.6
New Jersey,NJ,1985,8,5871000,65.4,61.8,5.5
New Mexico,NM,1985,8,1029000,63.3,58,8.3
New York,NY,1985,8,13689000,60.8,56.9,6.5
North Carolina,NC,1985,8,4682000,66.5,62.9,5.4
North Dakota,ND,1985,8,486000,68.6,64.7,5.7
Ohio,OH,1985,8,8080000,63.9,58.1,9.1
Oklahoma,OK,1985,8,2402000,65,60.4,7.1
Oregon,OR,1985,8,2026000,65.2,59.6,8.6
Pennsylvania,PA,1985,8,9203000,60.4,55.6,8
Rhode Island,RI,1985,8,749000,66.7,63.7,4.5
South Carolina,SC,1985,8,2434000,64,59.4,7.3
South Dakota,SD,1985,8,506000,68.3,65,4.8
Tennessee,TN,1985,8,3604000,62.5,57.5,7.9
Texas,TX,1985,8,11781000,68.1,63.2,7.3
Utah,UT,1985,8,1064000,69,64.9,5.9
Vermont,VT,1985,8,402000,69.8,66.4,4.8
Virginia,VA,1985,8,4220000,67.8,63.9,5.6
Washington,WA,1985,8,3261000,64.3,59,8.2
West Virginia,WV,1985,8,1462000,51.6,45,12.9
Wisconsin,WI,1985,8,3575000,66.5,61.7,7.2
Wyoming,WY,1985,8,357000,70.8,65.8,7.1
Alabama,AL,1985,9,2975000,60.6,55.3,8.7
Alaska,AK,1985,9,345000,73.3,66.2,9.7
Arizona,AZ,1985,9,2370000,63.2,59,6.6
Arkansas,AR,1985,9,1750000,60.2,54.9,8.8
California,CA,1985,9,19742000,66,61.3,7.1
Colorado,CO,1985,9,2392000,71.5,67,6.2
Connecticut,CT,1985,9,2474000,69.3,66.2,4.6
Delaware,DE,1985,9,473000,67.5,64.3,4.7
D.C.,DC,1985,9,483000,66.7,61.5,7.9
Florida,FL,1985,9,8964000,59.8,56.3,5.9
Georgia,GA,1985,9,4383000,66,61.8,6.3
Hawaii,HI,1985,9,733000,65.7,62.2,5.4
Idaho,ID,1985,9,701000,66.5,61.3,7.9
Illinois,IL,1985,9,8641000,65.7,59.6,9.2
Indiana,IN,1985,9,4096000,66.4,61.4,7.5
Iowa,IA,1985,9,2146000,65.8,60.9,7.4
Kansas,KS,1985,9,1795000,68.4,64.9,5.1
Kentucky,KY,1985,9,2749000,61.7,55.8,9.5
Louisiana,LA,1985,9,3203000,62.1,54.8,11.8
Maine,ME,1985,9,876000,62.9,59.6,5.3
Maryland,MD,1985,9,3351000,68.2,65.2,4.4
Massachusetts,MA,1985,9,4538000,67.3,64.6,3.9
Michigan,MI,1985,9,6806000,64.1,57.9,9.8
Minnesota,MN,1985,9,3127000,71.5,67.1,6.1
Mississippi,MS,1985,9,1869000,60.6,54.3,10.4
Missouri,MO,1985,9,3783000,65.4,61.3,6.3
Montana,MT,1985,9,603000,66.8,61.7,7.7
Nebraska,NE,1985,9,1172000,68.9,65.2,5.3
Nevada,NV,1985,9,727000,71.3,65.9,7.5
New Hampshire,NH,1985,9,762000,71.5,69,3.5
New Jersey,NJ,1985,9,5879000,65.5,61.9,5.5
New Mexico,NM,1985,9,1032000,63.3,58.1,8.3
New York,NY,1985,9,13692000,61,57,6.5
North Carolina,NC,1985,9,4687000,66.7,63.2,5.2
North Dakota,ND,1985,9,486000,68.6,64.7,5.7
Ohio,OH,1985,9,8081000,64.1,58.3,9
Oklahoma,OK,1985,9,2404000,65.2,60.5,7.1
Oregon,OR,1985,9,2029000,65.2,59.7,8.4
Pennsylvania,PA,1985,9,9207000,60.4,55.7,7.8
Rhode Island,RI,1985,9,749000,66.8,63.9,4.4
South Carolina,SC,1985,9,2436000,64.1,59.5,7.2
South Dakota,SD,1985,9,506000,68.2,64.9,4.8
Tennessee,TN,1985,9,3606000,62.6,57.7,7.8
Texas,TX,1985,9,11798000,68.1,63.1,7.3
Utah,UT,1985,9,1066000,69,65,5.8
Vermont,VT,1985,9,403000,69.9,66.6,4.8
Virginia,VA,1985,9,4228000,67.7,63.9,5.5
Washington,WA,1985,9,3267000,64.4,59.2,8.1
West Virginia,WV,1985,9,1462000,51.5,45,12.6
Wisconsin,WI,1985,9,3576000,66.5,61.7,7.2
Wyoming,WY,1985,9,358000,70.6,65.5,7.2
Alabama,AL,1985,10,2978000,60.7,55.5,8.7
Alaska,AK,1985,10,345000,73.5,66.3,9.7
Arizona,AZ,1985,10,2375000,63.4,59.3,6.5
Arkansas,AR,1985,10,1751000,60.1,54.9,8.7
California,CA,1985,10,19775000,66,61.4,7
Colorado,CO,1985,10,2395000,71.4,66.9,6.3
Connecticut,CT,1985,10,2475000,69.3,66.3,4.4
Delaware,DE,1985,10,474000,67.5,64.3,4.6
D.C.,DC,1985,10,483000,66.7,61.6,7.7
Florida,FL,1985,10,8985000,59.9,56.4,5.8
Georgia,GA,1985,10,4390000,66,62,6.1
Hawaii,HI,1985,10,734000,65.8,62.3,5.4
Idaho,ID,1985,10,701000,66.6,61.2,8
Illinois,IL,1985,10,8645000,65.7,59.7,9.1
Indiana,IN,1985,10,4098000,66.4,61.6,7.2
Iowa,IA,1985,10,2146000,66,61.1,7.4
Kansas,KS,1985,10,1797000,68.4,64.9,5.2
Kentucky,KY,1985,10,2750000,61.7,55.8,9.6
Louisiana,LA,1985,10,3205000,62.2,54.8,11.9
Maine,ME,1985,10,877000,63.1,59.7,5.4
Maryland,MD,1985,10,3355000,68.3,65.3,4.3
Massachusetts,MA,1985,10,4541000,67.3,64.7,3.9
Michigan,MI,1985,10,6811000,64.1,58,9.5
Minnesota,MN,1985,10,3131000,71.5,67.1,6.1
Mississippi,MS,1985,10,1869000,60.8,54.5,10.4
Missouri,MO,1985,10,3787000,65.7,61.6,6.2
Montana,MT,1985,10,603000,66.8,61.6,7.8
Nebraska,NE,1985,10,1172000,68.9,65.2,5.3
Nevada,NV,1985,10,727000,71.4,66.1,7.4
New Hampshire,NH,1985,10,763000,71.6,69.2,3.3
New Jersey,NJ,1985,10,5886000,65.6,62,5.5
New Mexico,NM,1985,10,1034000,63.5,58.2,8.3
New York,NY,1985,10,13694000,61.1,57.2,6.4
North Carolina,NC,1985,10,4691000,66.9,63.5,5
North Dakota,ND,1985,10,486000,68.7,64.8,5.7
Ohio,OH,1985,10,8083000,64.2,58.4,8.9
Oklahoma,OK,1985,10,2406000,65.3,60.6,7.1
Oregon,OR,1985,10,2032000,65.3,59.8,8.4
Pennsylvania,PA,1985,10,9210000,60.5,55.9,7.7
Rhode Island,RI,1985,10,750000,66.9,64.1,4.3
South Carolina,SC,1985,10,2437000,64.1,59.6,7.1
South Dakota,SD,1985,10,507000,68.1,64.8,4.8
Tennessee,TN,1985,10,3608000,62.7,57.8,7.8
Texas,TX,1985,10,11814000,68.1,63.1,7.3
Utah,UT,1985,10,1067000,69.2,65.1,5.8
Vermont,VT,1985,10,403000,70.2,66.9,4.7
Virginia,VA,1985,10,4235000,67.6,64,5.4
Washington,WA,1985,10,3274000,64.5,59.3,8
West Virginia,WV,1985,10,1461000,51.4,45.1,12.3
Wisconsin,WI,1985,10,3578000,66.6,61.8,7.2
Wyoming,WY,1985,10,358000,70.5,65.4,7.3
Alabama,AL,1985,11,2981000,60.9,55.6,8.7
Alaska,AK,1985,11,346000,73.5,66.3,9.9
Arizona,AZ,1985,11,2381000,63.5,59.5,6.4
Arkansas,AR,1985,11,1753000,60.1,54.9,8.7
California,CA,1985,11,19808000,66,61.5,6.9
Colorado,CO,1985,11,2397000,71.3,66.8,6.4
Connecticut,CT,1985,11,2477000,69.3,66.4,4.2
Delaware,DE,1985,11,475000,67.4,64.3,4.6
D.C.,DC,1985,11,482000,66.9,61.9,7.4
Florida,FL,1985,11,9006000,60,56.6,5.7
Georgia,GA,1985,11,4397000,66.1,62.2,5.9
Hawaii,HI,1985,11,736000,65.9,62.3,5.4
Idaho,ID,1985,11,702000,66.6,61.2,8.1
Illinois,IL,1985,11,8649000,65.7,59.8,9
Indiana,IN,1985,11,4101000,66.5,61.8,7.1
Iowa,IA,1985,11,2145000,66.2,61.3,7.4
Kansas,KS,1985,11,1799000,68.4,64.8,5.2
Kentucky,KY,1985,11,2751000,61.7,55.7,9.6
Louisiana,LA,1985,11,3208000,62.2,54.8,12
Maine,ME,1985,11,878000,63.2,59.8,5.4
Maryland,MD,1985,11,3359000,68.3,65.4,4.3
Massachusetts,MA,1985,11,4544000,67.3,64.7,3.9
Michigan,MI,1985,11,6816000,64.1,58.2,9.2
Minnesota,MN,1985,11,3135000,71.4,67,6.1
Mississippi,MS,1985,11,1868000,61.1,54.7,10.4
Missouri,MO,1985,11,3791000,65.8,61.8,6.2
Montana,MT,1985,11,603000,66.9,61.6,7.8
Nebraska,NE,1985,11,1173000,68.9,65.2,5.4
Nevada,NV,1985,11,728000,71.3,66.2,7.3
New Hampshire,NH,1985,11,765000,71.7,69.4,3.3
New Jersey,NJ,1985,11,5894000,65.7,62,5.5
New Mexico,NM,1985,11,1037000,63.6,58.3,8.3
New York,NY,1985,11,13697000,61.3,57.3,6.4
North Carolina,NC,1985,11,4695000,67.1,63.8,4.9
North Dakota,ND,1985,11,486000,68.8,64.8,5.8
Ohio,OH,1985,11,8085000,64.2,58.6,8.8
Oklahoma,OK,1985,11,2409000,65.4,60.7,7.2
Oregon,OR,1985,11,2035000,65.4,59.9,8.4
Pennsylvania,PA,1985,11,9214000,60.6,56,7.6
Rhode Island,RI,1985,11,750000,67.1,64.3,4.2
South Carolina,SC,1985,11,2439000,64.2,59.7,6.9
South Dakota,SD,1985,11,507000,68.1,64.9,4.8
Tennessee,TN,1985,11,3610000,62.8,57.9,7.8
Texas,TX,1985,11,11831000,68.1,63,7.4
Utah,UT,1985,11,1068000,69.3,65.3,5.8
Vermont,VT,1985,11,404000,70.2,67,4.6
Virginia,VA,1985,11,4243000,67.6,64,5.3
Washington,WA,1985,11,3280000,64.6,59.5,7.9
West Virginia,WV,1985,11,1460000,51.3,45.1,12.1
Wisconsin,WI,1985,11,3579000,66.7,61.9,7.2
Wyoming,WY,1985,11,358000,70.5,65.3,7.4
Alabama,AL,1985,12,2983000,61.2,55.7,8.9
Alaska,AK,1985,12,347000,73.5,66.1,10
Arizona,AZ,1985,12,2387000,63.6,59.6,6.4
Arkansas,AR,1985,12,1754000,60.1,54.9,8.7
California,CA,1985,12,19841000,66.1,61.6,6.8
Colorado,CO,1985,12,2400000,71.1,66.5,6.5
Connecticut,CT,1985,12,2478000,69.4,66.6,4
Delaware,DE,1985,12,475000,67.5,64.4,4.6
D.C.,DC,1985,12,482000,66.9,62,7.3
Florida,FL,1985,12,9027000,60.1,56.7,5.7
Georgia,GA,1985,12,4403000,66.1,62.3,5.8
Hawaii,HI,1985,12,737000,65.9,62.4,5.3
Idaho,ID,1985,12,703000,66.6,61.1,8.2
Illinois,IL,1985,12,8653000,65.7,59.9,8.8
Indiana,IN,1985,12,4103000,66.5,61.9,7
Iowa,IA,1985,12,2144000,66.3,61.5,7.3
Kansas,KS,1985,12,1802000,68.3,64.7,5.3
Kentucky,KY,1985,12,2752000,61.6,55.7,9.7
Louisiana,LA,1985,12,3210000,62.2,54.7,12.1
Maine,ME,1985,12,878000,63.3,59.9,5.4
Maryland,MD,1985,12,3363000,68.4,65.5,4.3
Massachusetts,MA,1985,12,4546000,67.3,64.7,3.9
Michigan,MI,1985,12,6821000,64,58.2,9
Minnesota,MN,1985,12,3139000,71.3,67,6.1
Mississippi,MS,1985,12,1868000,61.2,54.7,10.5
Missouri,MO,1985,12,3795000,65.9,61.9,6.1
Montana,MT,1985,12,602000,67,61.7,7.9
Nebraska,NE,1985,12,1174000,68.9,65.2,5.4
Nevada,NV,1985,12,729000,71.3,66.3,7.1
New Hampshire,NH,1985,12,767000,71.8,69.5,3.2
New Jersey,NJ,1985,12,5902000,65.7,62.1,5.5
New Mexico,NM,1985,12,1040000,63.6,58.3,8.4
New York,NY,1985,12,13699000,61.4,57.4,6.5
North Carolina,NC,1985,12,4700000,67.2,63.9,4.9
North Dakota,ND,1985,12,486000,68.8,64.8,5.8
Ohio,OH,1985,12,8086000,64.2,58.7,8.6
Oklahoma,OK,1985,12,2411000,65.5,60.7,7.3
Oregon,OR,1985,12,2038000,65.4,59.9,8.5
Pennsylvania,PA,1985,12,9218000,60.7,56.1,7.6
Rhode Island,RI,1985,12,751000,67.2,64.4,4.2
South Carolina,SC,1985,12,2441000,64.2,59.8,6.8
South Dakota,SD,1985,12,508000,68.1,64.8,4.8
Tennessee,TN,1985,12,3612000,62.9,58,7.9
Texas,TX,1985,12,11847000,68,62.9,7.5
Utah,UT,1985,12,1069000,69.3,65.4,5.7
Vermont,VT,1985,12,404000,70.4,67.2,4.6
Virginia,VA,1985,12,4250000,67.5,64,5.2
Washington,WA,1985,12,3287000,64.8,59.7,7.9
West Virginia,WV,1985,12,1460000,51.2,45.1,11.9
Wisconsin,WI,1985,12,3581000,66.7,62,7.2
Wyoming,WY,1985,12,358000,70.5,65.1,7.6
Alabama,AL,1986,1,2986000,61.5,55.8,9.2
Alaska,AK,1986,1,348000,73.5,66,10.3
Arizona,AZ,1986,1,2393000,63.7,59.7,6.4
Arkansas,AR,1986,1,1755000,60.1,54.9,8.7
California,CA,1986,1,19875000,66.1,61.6,6.8
Colorado,CO,1986,1,2402000,71,66.3,6.6
Connecticut,CT,1986,1,2479000,69.4,66.7,3.9
Delaware,DE,1986,1,476000,67.5,64.3,4.7
D.C.,DC,1986,1,482000,66.9,62.1,7.2
Florida,FL,1986,1,9048000,60.2,56.7,5.7
Georgia,GA,1986,1,4410000,66.2,62.4,5.8
Hawaii,HI,1986,1,738000,66,62.5,5.3
Idaho,ID,1986,1,704000,66.6,61.1,8.2
Illinois,IL,1986,1,8657000,65.6,59.9,8.7
Indiana,IN,1986,1,4105000,66.6,61.9,6.9
Iowa,IA,1986,1,2143000,66.4,61.6,7.3
Kansas,KS,1986,1,1804000,68.3,64.7,5.3
Kentucky,KY,1986,1,2754000,61.5,55.6,9.7
Louisiana,LA,1986,1,3212000,62.1,54.6,12.2
Maine,ME,1986,1,879000,63.4,59.9,5.4
Maryland,MD,1986,1,3368000,68.5,65.5,4.3
Massachusetts,MA,1986,1,4549000,67.2,64.6,3.9
Michigan,MI,1986,1,6827000,63.9,58.2,8.9
Minnesota,MN,1986,1,3142000,71.2,66.9,6
Mississippi,MS,1986,1,1868000,61.3,54.7,10.7
Missouri,MO,1986,1,3799000,65.9,61.9,6.1
Montana,MT,1986,1,602000,67,61.7,7.9
Nebraska,NE,1986,1,1175000,68.9,65.2,5.4
Nevada,NV,1986,1,730000,71.3,66.4,6.9
New Hampshire,NH,1986,1,769000,71.9,69.6,3.2
New Jersey,NJ,1986,1,5910000,65.7,62,5.5
New Mexico,NM,1986,1,1043000,63.6,58.2,8.6
New York,NY,1986,1,13701000,61.4,57.4,6.5
North Carolina,NC,1986,1,4704000,67.2,63.8,5
North Dakota,ND,1986,1,486000,68.8,64.7,5.9
Ohio,OH,1986,1,8088000,64.2,58.8,8.5
Oklahoma,OK,1986,1,2413000,65.6,60.6,7.5
Oregon,OR,1986,1,2040000,65.5,59.9,8.6
Pennsylvania,PA,1986,1,9222000,60.7,56.2,7.5
Rhode Island,RI,1986,1,751000,67.3,64.5,4.1
South Carolina,SC,1986,1,2443000,64.3,59.9,6.8
South Dakota,SD,1986,1,508000,68.2,64.9,4.8
Tennessee,TN,1986,1,3614000,63,58,8
Texas,TX,1986,1,11863000,68,62.8,7.7
Utah,UT,1986,1,1071000,69.3,65.4,5.7
Vermont,VT,1986,1,404000,70.6,67.4,4.5
Virginia,VA,1986,1,4257000,67.4,64,5.1
Washington,WA,1986,1,3293000,65,59.9,7.9
West Virginia,WV,1986,1,1459000,51.1,45.1,11.9
Wisconsin,WI,1986,1,3582000,66.8,62,7.1
Wyoming,WY,1986,1,359000,70.3,64.8,7.8
Alabama,AL,1986,2,2989000,61.7,55.9,9.5
Alaska,AK,1986,2,348000,73.7,65.9,10.5
Arizona,AZ,1986,2,2399000,63.9,59.7,6.5
Arkansas,AR,1986,2,1756000,60.2,55,8.7
California,CA,1986,2,19908000,66.1,61.6,6.8
Colorado,CO,1986,2,2405000,70.9,66.1,6.8
Connecticut,CT,1986,2,2481000,69.4,66.7,3.9
Delaware,DE,1986,2,477000,67.5,64.3,4.8
D.C.,DC,1986,2,481000,67,62.2,7.2
Florida,FL,1986,2,9070000,60.3,56.8,5.8
Georgia,GA,1986,2,4417000,66.4,62.5,5.8
Hawaii,HI,1986,2,739000,66.1,62.6,5.3
Idaho,ID,1986,2,704000,66.7,61.2,8.3
Illinois,IL,1986,2,8662000,65.6,59.9,8.7
Indiana,IN,1986,2,4108000,66.6,61.9,7
Iowa,IA,1986,2,2142000,66.5,61.7,7.2
Kansas,KS,1986,2,1806000,68.3,64.6,5.3
Kentucky,KY,1986,2,2755000,61.4,55.5,9.6
Louisiana,LA,1986,2,3215000,62,54.4,12.3
Maine,ME,1986,2,880000,63.4,60,5.4
Maryland,MD,1986,2,3372000,68.6,65.6,4.4
Massachusetts,MA,1986,2,4552000,67.2,64.6,3.9
Michigan,MI,1986,2,6832000,63.9,58.2,8.9
Minnesota,MN,1986,2,3146000,71.1,66.9,6
Mississippi,MS,1986,2,1868000,61.4,54.6,11
Missouri,MO,1986,2,3804000,65.9,61.9,6.1
Montana,MT,1986,2,602000,67.1,61.7,8
Nebraska,NE,1986,2,1176000,68.9,65.2,5.3
Nevada,NV,1986,2,731000,71.4,66.6,6.7
New Hampshire,NH,1986,2,771000,72,69.7,3.1
New Jersey,NJ,1986,2,5917000,65.6,62,5.4
New Mexico,NM,1986,2,1045000,63.7,58.1,8.8
New York,NY,1986,2,13704000,61.5,57.4,6.6
North Carolina,NC,1986,2,4708000,67.2,63.7,5.2
North Dakota,ND,1986,2,487000,68.6,64.5,6
Ohio,OH,1986,2,8090000,64.3,58.9,8.4
Oklahoma,OK,1986,2,2415000,65.7,60.6,7.7
Oregon,OR,1986,2,2043000,65.6,59.9,8.7
Pennsylvania,PA,1986,2,9225000,60.8,56.2,7.5
Rhode Island,RI,1986,2,752000,67.3,64.6,4.1
South Carolina,SC,1986,2,2445000,64.4,60,6.8
South Dakota,SD,1986,2,509000,68.2,64.9,4.7
Tennessee,TN,1986,2,3616000,63.1,58,8.1
Texas,TX,1986,2,11880000,68.1,62.7,8
Utah,UT,1986,2,1072000,69.4,65.4,5.7
Vermont,VT,1986,2,405000,70.6,67.5,4.4
Virginia,VA,1986,2,4265000,67.4,63.9,5.1
Washington,WA,1986,2,3300000,65.2,60,8
West Virginia,WV,1986,2,1458000,51.2,45.1,11.9
Wisconsin,WI,1986,2,3584000,66.8,62,7.1
Wyoming,WY,1986,2,359000,70.4,64.7,8.1
Alabama,AL,1986,3,2991000,62,55.9,9.8
Alaska,AK,1986,3,349000,73.6,65.7,10.8
Arizona,AZ,1986,3,2405000,64,59.8,6.6
Arkansas,AR,1986,3,1757000,60.3,55.1,8.6
California,CA,1986,3,19941000,66.2,61.7,6.9
Colorado,CO,1986,3,2408000,70.8,65.8,7
Connecticut,CT,1986,3,2482000,69.6,66.8,3.9
Delaware,DE,1986,3,477000,67.7,64.4,4.9
