"","state.name","date","pollster","grade","samplesize","population","clinton","trump","poll_id","question_id","state"
"882","California","8/26/16","Tulchin Research","B",601,"rv",52,31,45724,71368,"CA"
"883","Minnesota","10/28/16","Google Consumer Surveys","B",688,"lv",34.77,28.58,47964,75023,"MN"
"884","New Hampshire","9/22/16","American Research Group","C+",522,"rv",46,42,46153,72151,"NH"
"885","Indiana","10/20/16","Ipsos","A-",368,"lv",38.9,53.54,47724,74707,"IN"
"886","Colorado","10/28/16","Google Consumer Surveys","B",637,"lv",42.67,27.9,47946,75005,"CO"
"887","Ohio","8/26/16","Public Policy Polling","B+",1134,"lv",46,42,45262,69615,"OH"
"888","Florida","9/17/16","Cherry Communications","C",617,"lv",43,41,46046,72026,"FL"
"889","Missouri","10/28/16","Google Consumer Surveys","B",726,"lv",37.32,38.14,47965,75024,"MO"
"890","North Carolina","9/6/16","Suffolk University","B+",500,"lv",41,44,45429,70736,"NC"
"891","New Jersey","10/31/16","Ipsos","A-",557,"lv",49.72,36.13,48394,75862,"NJ"
"892","Georgia","10/28/16","Google Consumer Surveys","B",540,"lv",32.92,41.56,47951,75010,"GA"
"893","North Carolina","9/14/16","Elon University","B+",644,"lv",43,44,45886,71684,"NC"
"894","Pennsylvania","10/31/16","Ipsos","A-",485,"lv",48.15,44.04,48401,75869,"PA"
"895","Texas","10/31/16","Ipsos","A-",705,"lv",39.55,49.4,48405,75873,"TX"
"896","Ohio","10/31/16","Ipsos","A-",554,"lv",46.97,45.49,48398,75866,"OH"
"897","Arizona","10/28/16","Google Consumer Surveys","B",656,"lv",37.89,32.88,47944,75003,"AZ"
"898","New York","10/31/16","Ipsos","A-",552,"lv",56.42,34.22,48396,75864,"NY"
"899","District of Columbia","10/24/16","SurveyMonkey","C-",487,"lv",87,5,47663,74684,"DC"
"900","Washington","10/28/16","Google Consumer Surveys","B",625,"lv",43.73,26.69,47989,75048,"WA"
"901","California","9/13/16","Insights West","",515,"lv",57,30,45921,71768,"CA"
"902","Pennsylvania","8/27/16","Monmouth University","A+",402,"lv",48,40,45150,69411,"PA"
"903","Georgia","9/11/16","Emerson College","B",600,"lv",39,45,45814,71532,"GA"
"904","Maine","10/8/16","Maine People's Resource Center","C",892,"lv",44,36.1,46753,73104,"ME"
"905","Indiana","10/28/16","Google Consumer Surveys","B",764,"lv",36.46,33.82,47956,75015,"IN"
"906","Washington","9/13/16","Insights West","",505,"lv",38,28,45923,71770,"WA"
"907","Colorado","9/11/16","Emerson College","B",600,"lv",38,42,45813,71531,"CO"
"908","Maine","9/3/16","Emerson College","B",800,"lv",44,35,45418,70717,"ME"
"909","Alabama","10/17/16","Ipsos","A-",452,"lv",38.93,51.28,47713,74696,"AL"
"910","Arizona","9/13/16","Insights West","",484,"lv",33,37,45920,71767,"AZ"
"911","Arizona","10/17/16","Data Orbital","",550,"lv",41,41,47097,73719,"AZ"
"912","New York","9/13/16","Siena College","A",600,"lv",51,30,45895,71678,"NY"
"913","South Carolina","9/8/16","Starboard Communications","",600,"lv",35,48,45721,71360,"SC"
"914","Georgia","10/20/16","Ipsos","A-",583,"lv",43.11,47.84,47721,74704,"GA"
"915","Kentucky","9/15/16","Google Consumer Surveys","B",815,"a",23.9,35.4,47048,73578,"KY"
"916","North Carolina","8/31/16","YouGov","B",1088,"lv",46,42,45320,69701,"NC"
"917","Virginia","10/28/16","Google Consumer Surveys","B",661,"lv",38.73,33.85,47987,75046,"VA"
"918","North Carolina","10/28/16","Google Consumer Surveys","B",725,"lv",34.4,40.6,47968,75027,"NC"
"919","California","10/31/16","Ipsos","A-",742,"lv",60.4,30.34,48370,75838,"CA"
"920","Michigan","10/24/16","Ipsos","A-",335,"lv",41.34,37.11,47732,74715,"MI"
"921","Delaware","10/24/16","SurveyMonkey","C-",548,"lv",52,36,47664,74640,"DE"
"922","New Jersey","10/20/16","Ipsos","A-",800,"lv",50.95,34.25,47740,74723,"NJ"
"923","South Carolina","10/17/16","Ipsos","A-",282,"lv",43.53,48.62,47748,74731,"SC"
"924","Nevada","9/13/16","Insights West","",398,"lv",40,42,45922,71769,"NV"
"925","Nebraska","10/23/16","Ipsos","A-",328,"lv",31.34,52.38,48238,75539,"NE"
"926","Texas","8/13/16","Public Policy Polling","B+",944,"lv",38,44,44862,68763,"TX"
"927","Kansas","9/8/16","SurveyUSA","A",595,"lv",36,48,45731,71408,"KS"
"928","Connecticut","10/17/16","Ipsos","A-",401,"lv",51.05,36.25,47718,74701,"CT"
"929","Michigan","10/28/16","Google Consumer Surveys","B",677,"lv",37.5,34.9,47963,75022,"MI"
"930","Kentucky","10/17/16","Ipsos","A-",463,"lv",37.65,56.14,47727,74710,"KY"
"931","Michigan","8/23/16","Suffolk University","B+",500,"lv",43.6,37.2,44988,69022,"MI"
"932","Wisconsin","10/28/16","Google Consumer Surveys","B",816,"lv",41.21,28.69,47990,75049,"WI"
"933","Virginia","10/20/16","Ipsos","A-",697,"lv",48.11,39.3,47752,74735,"VA"
"934","North Carolina","8/21/16","Monmouth University","A+",401,"lv",44,42,44933,68955,"NC"
"935","Florida","10/31/16","Ipsos","A-",916,"lv",47.88,46.89,48374,75842,"FL"
"936","Virginia","9/10/16","Public Policy Polling","B+",878,"lv",45,39,45722,71362,"VA"
"937","Missouri","8/26/16","Public Policy Polling","B+",1055,"lv",41,47,45259,69612,"MO"
"938","Mississippi","10/23/16","Ipsos","A-",261,"lv",31.66,56.41,48235,75536,"MS"
"939","Ohio","9/22/16","Gravis Marketing","B-",850,"rv",42,43,46032,71988,"OH"
"940","West Virginia","10/22/16","Google Consumer Surveys","B",140,"lv",24.58,47.56,47405,74442,"WV"
"941","Pennsylvania","10/26/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",47,40,47651,74616,"PA"
"942","New Hampshire","10/26/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",47,39,47648,74613,"NH"
"943","North Carolina","10/26/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",47,44,47649,74614,"NC"
"944","Nevada","10/26/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",43,42,47647,74612,"NV"
"945","Ohio","10/26/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",46,42,47650,74615,"OH"
"946","South Dakota","10/22/16","Google Consumer Surveys","B",125,"lv",29.92,41.88,47397,74434,"SD"
"947","Arizona","8/20/16","CNN/Opinion Research Corp.","A-",809,"lv",38,45,44934,68962,"AZ"
"948","Oregon","10/17/16","Ipsos","A-",592,"lv",46.26,37.69,47746,74729,"OR"
"949","Florida","10/26/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",42,48,47646,74611,"FL"
"950","Texas","10/28/16","Google Consumer Surveys","B",1260,"lv",31.53,43.03,47985,75044,"TX"
"951","Rhode Island","10/24/16","SurveyMonkey","C-",518,"lv",48,37,47695,74671,"RI"
"952","North Dakota","10/24/16","SurveyMonkey","C-",333,"lv",31,54,47690,74666,"ND"
"953","Vermont","9/26/16","Ipsos","A-",102,"lv",46.34,21.29,46674,72968,"VT"
"954","Missouri","10/10/16","Remington","",2171,"lv",42,47,46780,73153,"MO"
"955","Vermont","10/22/16","Google Consumer Surveys","B",96,"lv",55.01,14.83,47402,74439,"VT"
"956","South Carolina","8/19/16","Feldman Group","B-",600,"lv",39,39,44927,68949,"SC"
"957","New Jersey","10/28/16","Google Consumer Surveys","B",916,"lv",38.54,33.18,47972,75031,"NJ"
"958","North Dakota","10/3/16","Ipsos","A-",105,"lv",34.67,44.9,46848,73294,"ND"
"959","North Carolina","8/20/16","CNN/Opinion Research Corp.","A-",803,"lv",45,45,44935,68963,"NC"
"960","Illinois","10/24/16","Ipsos","A-",475,"lv",55.55,34.57,47723,74706,"IL"
"961","Alaska","10/24/16","SurveyMonkey","C-",448,"lv",33,45,47657,74633,"AK"
"962","Nevada","9/6/16","Public Policy Polling","B+",815,"lv",45,42,45716,71350,"NV"
"963","Maine","10/22/16","Google Consumer Surveys","B",101,"lv",46.47,26.61,47377,74414,"ME"
"964","Ohio","10/28/16","Google Consumer Surveys","B",982,"lv",33.35,35.38,47976,75035,"OH"
"965","Idaho","10/22/16","Google Consumer Surveys","B",191,"lv",27.77,37.57,47369,74406,"ID"
"966","Hawaii","10/24/16","SurveyMonkey","C-",522,"lv",49,31,47667,74643,"HI"
"967","Iowa","8/31/16","Emerson College","B",600,"lv",39,44,45273,69635,"IA"
"968","Michigan","8/26/16","Emerson College","B",800,"lv",44.9,39.5,45047,69101,"MI"
"969","Ohio","8/19/16","Monmouth University","A+",402,"lv",43,39,44911,68895,"OH"
"970","Alaska","10/22/16","Google Consumer Surveys","B",86,"lv",37.32,33.15,47356,74393,"AK"
"971","Wyoming","10/22/16","Google Consumer Surveys","B",92,"lv",20.8,52.8,47406,74443,"WY"
"972","Montana","10/24/16","SurveyMonkey","C-",490,"lv",35,51,47682,74658,"MT"
"973","Missouri","8/20/16","Monmouth University","A+",401,"lv",43,44,44922,68913,"MO"
"974","Pennsylvania","10/24/16","Ipsos","A-",445,"lv",48.03,45.87,47747,74730,"PA"
"975","Colorado","10/3/16","Gravis Marketing","B-",1246,"rv",40,40,46561,72827,"CO"
"976","West Virginia","10/23/16","Ipsos","A-",228,"lv",33.94,57.74,48258,75559,"WV"
"977","Indiana","9/7/16","Public Opinion Strategies","B",600,"lv",36,43,45439,70751,"IN"
"978","Illinois","10/28/16","Google Consumer Surveys","B",1185,"lv",42.66,28.26,47955,75014,"IL"
"979","South Carolina","8/9/16","Public Policy Polling","B+",1290,"v",39,41,44825,68672,"SC"
"980","Pennsylvania","10/28/16","Google Consumer Surveys","B",1029,"lv",36.86,39.45,47979,75038,"PA"
"981","Ohio","10/24/16","Ipsos","A-",508,"lv",44.85,45.17,47744,74727,"OH"
"982","Maine","10/17/16","Ipsos","A-",206,"lv",45.5,39.17,47729,74712,"ME"
"983","Iowa","9/7/16","RABA Research","C+",1054,"lv",39,40,45704,71306,"IA"
"984","Nevada","10/25/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",44,43,47623,74532,"NV"
"985","New Hampshire","10/25/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",48,39,47624,74533,"NH"
"986","New Mexico","10/17/16","Ipsos","A-",141,"lv",48.54,39.41,47741,74724,"NM"
"987","New York","10/24/16","Ipsos","A-",498,"lv",51.97,30.28,47742,74725,"NY"
"988","Hawaii","10/22/16","Google Consumer Surveys","B",72,"lv",46.73,27.11,47367,74404,"HI"
"989","Arkansas","10/22/16","Google Consumer Surveys","B",206,"lv",36.72,38.33,47358,74395,"AR"
"990","New Hampshire","10/17/16","Ipsos","A-",164,"lv",44.41,40.21,47739,74722,"NH"
"991","Delaware","10/17/16","Ipsos","A-",115,"lv",47.87,36.17,47719,74702,"DE"
"992","Montana","10/17/16","Ipsos","A-",101,"lv",31.59,47.82,47736,74719,"MT"
"993","Florida","9/8/16","YouGov","B",1193,"lv",44,42,45699,71283,"FL"
"994","New York","10/28/16","Google Consumer Surveys","B",1225,"lv",42.3,30.2,47975,75034,"NY"
"995","Idaho","10/17/16","Ipsos","A-",163,"lv",30.1,53.87,47722,74705,"ID"
"996","Vermont","10/24/16","SurveyMonkey","C-",479,"lv",53,25,47701,74677,"VT"
"997","California","9/10/16","YouGov","B",1426,"lv",50,33,45893,71692,"CA"
"998","Florida","10/28/16","Google Consumer Surveys","B",1286,"lv",36.5,44.1,47950,75009,"FL"
"999","Ohio","10/13/16","Ipsos","A-",1839,"lv",43.41,42.75,47216,73893,"OH"
"1000","Rhode Island","10/22/16","Google Consumer Surveys","B",60,"lv",46.65,28.26,47395,74432,"RI"
"1001","District of Columbia","10/22/16","Google Consumer Surveys","B",64,"lv",61.66,11.14,47363,74400,"DC"
"1002","North Dakota","10/22/16","Google Consumer Surveys","B",81,"lv",19.8,46.07,47384,74421,"ND"
"1003","Florida","8/21/16","icitizen","",600,"rv",42,37,44992,69028,"FL"
"1004","Oklahoma","10/22/16","Google Consumer Surveys","B",252,"lv",30.59,40.34,47392,74429,"OK"
"1005","Montana","10/22/16","Google Consumer Surveys","B",165,"lv",27.82,38.99,47382,74419,"MT"
"1006","California","8/26/16","Tulchin Research","B",601,"rv",49,35,45723,71367,"CA"
"1007","Nevada","10/22/16","Google Consumer Surveys","B",236,"lv",36.38,33.18,47389,74426,"NV"
"1008","New Mexico","10/24/16","SurveyMonkey","C-",1141,"lv",43,35,47687,74663,"NM"
"1009","California","10/24/16","Ipsos","A-",712,"lv",65.14,26.16,47716,74699,"CA"
"1010","Pennsylvania","10/28/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",44,42,47866,74902,"PA"
"1011","Ohio","10/28/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",48,41,47865,74901,"OH"
"1012","Nevada","10/28/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",43,41,47862,74898,"NV"
"1013","New Hampshire","10/28/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",46,40,47863,74899,"NH"
"1014","North Carolina","10/28/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",44,46,47864,74900,"NC"
"1015","New Hampshire","10/24/16","SurveyMonkey","C-",825,"lv",48,36,47685,74661,"NH"
"1016","South Dakota","10/24/16","SurveyMonkey","C-",382,"lv",30,53,47697,74673,"SD"
"1017","Florida","10/28/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",43,48,47861,74897,"FL"
"1018","Mississippi","10/24/16","SurveyMonkey","C-",819,"lv",42,49,47680,74656,"MS"
"1019","Ohio","9/8/16","YouGov","B",994,"lv",46,39,45700,71284,"OH"
"1020","Wisconsin","8/26/16","Public Policy Polling","B+",1054,"lv",48,41,45264,69617,"WI"
"1021","Missouri","10/20/16","Ipsos","A-",334,"lv",41.67,47.61,47735,74718,"MO"
"1022","Nebraska","10/22/16","Google Consumer Surveys","B",218,"lv",25.43,46.87,47385,74422,"NE"
"1023","Virginia","8/7/16","Marist College","A",897,"rv",43,31,44840,68707,"VA"
"1024","New Hampshire","10/24/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",45,41,47534,74333,"NH"
"1025","Nevada","10/24/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",45,41,47533,74332,"NV"
"1026","Maryland","10/20/16","Ipsos","A-",394,"lv",53.64,33.56,47730,74713,"MD"
"1027","Connecticut","10/27/16","Ipsos","A-",347,"lv",48.95,41.48,48372,75840,"CT"
"1028","West Virginia","10/24/16","SurveyMonkey","C-",375,"lv",28,61,47704,74680,"WV"
"1029","South Carolina","10/27/16","Ipsos","A-",245,"lv",44.27,49.19,48402,75870,"SC"
"1030","Missouri","10/27/16","Ipsos","A-",409,"lv",40.06,48.67,48389,75857,"MO"
"1031","Alabama","10/27/16","Ipsos","A-",316,"lv",38.37,55.07,48367,75835,"AL"
"1032","Mississippi","8/11/16","Magellan Strategies","C",1084,"lv",39,52,44875,68802,"MS"
"1033","Michigan","9/11/16","EPIC-MRA","A-",600,"lv",38,35,45817,71539,"MI"
"1034","Florida","8/23/16","Mason-Dixon Polling & Research, Inc.","B+",625,"lv",44,42,44990,69027,"FL"
"1035","Arizona","10/11/16","Data Orbital","",550,"lv",43,42,46806,73213,"AZ"
"1036","Maine","10/17/16","Google Consumer Surveys","B",137,"lv",36.58,36.27,47124,73757,"ME"
"1037","Virginia","9/28/16","Christopher Newport University","B-",892,"lv",42,35,46324,72445,"VA"
"1038","New Mexico","10/22/16","Google Consumer Surveys","B",222,"lv",47.68,23.64,47388,74425,"NM"
"1039","Kentucky","10/27/16","Ipsos","A-",378,"lv",36.01,59.44,48381,75849,"KY"
"1040","Louisiana","10/22/16","Google Consumer Surveys","B",279,"lv",34.12,44.79,47374,74411,"LA"
"1041","Texas","10/24/16","Ipsos","A-",504,"lv",33.95,48.36,47750,74733,"TX"
"1042","West Virginia","8/18/16","R.L. Repass & Partners","C+",386,"lv",31,49,45266,69618,"WV"
"1043","Michigan","10/17/16","Ipsos","A-",441,"lv",45.18,40.82,47204,73881,"MI"
"1044","Arizona","10/20/16","Ipsos","A-",552,"lv",43.32,42.1,47714,74697,"AZ"
"1045","Indiana","8/14/16","Monmouth University","A+",403,"lv",36,47,44881,68814,"IN"
"1046","North Carolina","9/23/16","Gravis Marketing","B-",694,"lv",44,43,46155,72153,"NC"
"1047","California","10/28/16","Google Consumer Surveys","B",1365,"lv",46.27,26.85,47945,75004,"CA"
"1048","District of Columbia","11/1/16","SurveyMonkey","C-",336,"lv",87,6,48421,75891,"DC"
"1049","Florida","10/10/16","Opinion Savvy/InsiderAdvantage","C-",533,"lv",46.9,44.1,46759,73115,"FL"
"1050","Oregon","10/27/16","Ipsos","A-",454,"lv",46.76,38.13,48400,75868,"OR"
"1051","Maryland","10/27/16","Ipsos","A-",455,"lv",53.26,35.12,48384,75852,"MD"
"1052","Alaska","10/17/16","Google Consumer Surveys","B",111,"lv",28.07,36.9,47103,73736,"AK"
"1053","Colorado","10/27/16","Ipsos","A-",547,"lv",47.59,42.23,48371,75839,"CO"
"1054","Maine","8/6/16","Gravis Marketing","B-",2046,"rv",43,33,44823,68670,"ME"
"1055","Mississippi","10/22/16","Google Consumer Surveys","B",216,"lv",32.48,46.54,47381,74418,"MS"
"1056","Nebraska","10/27/16","Ipsos","A-",213,"lv",31.38,53.13,48391,75859,"NE"
"1057","Oregon","9/3/16","Davis, Hibbitts & Midghall, Inc.","B",517,"rv",38,25,45425,70732,"OR"
"1058","Virginia","8/31/16","Emerson College","B",800,"lv",44,43,45274,69636,"VA"
"1059","Colorado","10/20/16","Ipsos","A-",439,"lv",45.51,43.35,47717,74700,"CO"
"1060","New Hampshire","8/30/16","Public Policy Polling","B+",585,"lv",46,41,45409,70702,"NH"
"1061","Colorado","8/7/16","Marist College","A",899,"rv",41,29,44838,68703,"CO"
"1062","Utah","9/15/16","Dan Jones & Associates","C+",820,"lv",25,34,46030,71986,"UT"
"1063","Delaware","11/1/16","SurveyMonkey","C-",398,"lv",51,36,48422,75892,"DE"
"1064","Hawaii","10/17/16","Google Consumer Surveys","B",94,"lv",49.02,27.28,47114,73747,"HI"
"1065","Maine","10/27/16","Ipsos","A-",235,"lv",45.46,37.22,48383,75851,"ME"
"1066","Washington","10/20/16","Ipsos","A-",457,"lv",46.58,37.44,47753,74736,"WA"
"1067","Hawaii","11/1/16","SurveyMonkey","C-",458,"lv",53,28,48425,75895,"HI"
"1068","Arizona","10/10/16","Ipsos","A-",883,"lv",38.92,44.56,46818,73264,"AZ"
"1069","Pennsylvania","9/14/16","Muhlenberg College","A",405,"lv",40,32,45879,71644,"PA"
"1070","New Hampshire","10/27/16","Ipsos","A-",194,"lv",46.37,39.88,48393,75861,"NH"
"1071","Tennessee","10/27/16","Ipsos","A-",519,"lv",35.18,49.82,48404,75872,"TN"
"1072","Michigan","11/1/16","Mitchell Research & Communications","D",887,"lv",47,44,48113,75334,"MI"
"1073","Wisconsin","10/27/16","Ipsos","A-",651,"lv",47.18,39.99,48410,75878,"WI"
"1074","Pennsylvania","8/30/16","Public Policy Polling","B+",814,"lv",47,42,45410,70703,"PA"
"1075","Pennsylvania","8/27/16","Franklin & Marshall College","B+",496,"lv",45,40,45256,69609,"PA"
"1076","Arizona","10/27/16","Ipsos","A-",580,"lv",42.92,44.58,48214,75515,"AZ"
"1077","Idaho","10/24/16","SurveyMonkey","C-",467,"lv",29,48,47668,74644,"ID"
"1078","Tennessee","10/20/16","Ipsos","A-",401,"lv",35.41,42.95,47749,74732,"TN"
"1079","Washington","10/27/16","Ipsos","A-",545,"lv",46.44,39.43,48408,75876,"WA"
"1080","Iowa","8/5/16","Marist College","A",899,"rv",35,35,44810,68637,"IA"
"1081","Florida","10/24/16","Ipsos","A-",804,"lv",48.51,44.61,47720,74703,"FL"
"1082","West Virginia","10/27/16","Ipsos","A-",172,"lv",34.53,58.26,48409,75877,"WV"
"1083","Vermont","11/1/16","SurveyMonkey","C-",470,"lv",59,25,48459,75929,"VT"
"1084","New Hampshire","10/22/16","Google Consumer Surveys","B",56,"lv",29.52,38.1,47386,74423,"NH"
"1085","Wyoming","10/22/16","SurveyMonkey","C-",388,"lv",25,59,47606,74496,"WY"
"1086","Delaware","10/22/16","Google Consumer Surveys","B",74,"lv",34.21,33.26,47364,74401,"DE"
"1087","Idaho","10/27/16","Ipsos","A-",190,"lv",29.97,51.68,48376,75844,"ID"
"1088","Wisconsin","10/20/16","Ipsos","A-",522,"lv",46.75,41.62,47755,74738,"WI"
"1089","Rhode Island","11/1/16","SurveyMonkey","C-",411,"lv",49,36,48453,75923,"RI"
"1090","New Hampshire","8/27/16","Public Policy Polling","B+",977,"lv",46,40,45260,69613,"NH"
"1091","Wyoming","11/1/16","SurveyMonkey","C-",207,"lv",22,60,48464,75934,"WY"
"1092","North Carolina","10/21/16","Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",46,43,47535,74334,"NC"
"1093","Ohio","10/21/16","Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",41,44,47536,74335,"OH"
"1094","Pennsylvania","10/21/16","Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",48,40,47537,74336,"PA"
"1095","Minnesota","10/27/16","Ipsos","A-",638,"lv",42.41,36.96,48387,75855,"MN"
"1096","Montana","11/1/16","SurveyMonkey","C-",430,"lv",32,53,48440,75910,"MT"
"1097","Arizona","8/27/16","Gravis Marketing","B-",1244,"lv",40,44,45246,69560,"AZ"
"1098","North Dakota","11/1/16","SurveyMonkey","C-",287,"lv",29,57,48448,75918,"ND"
"1099","Minnesota","10/20/16","Ipsos","A-",509,"lv",40.56,37.43,47733,74716,"MN"
"1100","Mississippi","10/27/16","Ipsos","A-",168,"lv",34.24,53.55,48388,75856,"MS"
"1101","Florida","10/21/16","Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",45,44,47532,74331,"FL"
"1102","New Hampshire","10/17/16","Google Consumer Surveys","B",89,"lv",41.91,29.45,47133,73766,"NH"
"1103","New Mexico","10/27/16","Ipsos","A-",153,"lv",44.68,41.92,48395,75863,"NM"
"1104","Ohio","9/18/16","TargetSmart/William & Mary","",652,"lv",40,37,46101,72095,"OH"
"1105","North Carolina","10/10/16","Ipsos","A-",1056,"lv",46.33,42.42,46847,73293,"NC"
"1106","North Carolina","8/28/16","Emerson College","B",800,"lv",43.4,44.8,45149,69410,"NC"
"1107","Delaware","10/31/16","SurveyMonkey","C-",405,"lv",50,36,48277,75644,"DE"
"1108","Rhode Island","10/17/16","Google Consumer Surveys","B",70,"lv",45.07,32.76,47142,73775,"RI"
"1109","Kansas","10/22/16","Google Consumer Surveys","B",281,"lv",36.26,32.61,47372,74409,"KS"
"1110","South Dakota","11/1/16","SurveyMonkey","C-",433,"lv",30,53,48455,75925,"SD"
"1111","District of Columbia","10/31/16","SurveyMonkey","C-",324,"lv",85,5,48276,75643,"DC"
"1112","Connecticut","10/22/16","Google Consumer Surveys","B",340,"lv",43.34,31.95,47362,74399,"CT"
"1113","Kansas","10/24/16","SurveyMonkey","C-",1619,"lv",36,47,47672,74648,"KS"
"1114","Alaska","11/1/16","SurveyMonkey","C-",369,"lv",33,46,48415,75885,"AK"
"1115","West Virginia","11/1/16","SurveyMonkey","C-",433,"lv",27,57,48462,75932,"WV"
"1116","Maine CD-2","9/16/16","Maine People's Resource Center","C",396,"lv",33.2,44.3,45900,71690,"ME"
"1117","District of Columbia","10/22/16","SurveyMonkey","C-",555,"lv",87,5,47563,74453,"DC"
"1118","Pennsylvania","10/16/16","Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",44,41,47232,73909,"PA"
"1119","North Carolina","10/16/16","Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",46,41,47230,73907,"NC"
"1120","Ohio","10/16/16","Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",42,43,47231,73908,"OH"
"1121","Delaware","10/17/16","Google Consumer Surveys","B",113,"lv",37.21,28.18,47111,73744,"DE"
"1122","Florida","9/13/16","Saint Leo University","C+",475,"lv",49.4,43.6,45907,71735,"FL"
"1123","Arizona","8/26/16","MBQF","C+",728,"lv",40,39,45048,69102,"AZ"
"1124","Arkansas","10/23/16","Ipsos","A-",413,"lv",37.33,52.4,48215,75516,"AR"
"1125","Michigan","10/10/16","Ipsos","A-",1168,"lv",43.78,37.33,46836,73282,"MI"
"1126","Florida","8/13/16","Monmouth University","A+",402,"lv",48,39,44864,68766,"FL"
"1127","Vermont","10/17/16","Google Consumer Surveys","B",91,"lv",48.17,21.49,47149,73782,"VT"
"1128","Florida","10/16/16","Rasmussen Reports/Pulse Opinion Research","C+",875,"lv",47,41,47229,73906,"FL"
"1129","Hawaii","10/31/16","SurveyMonkey","C-",435,"lv",52,29,48280,75647,"HI"
"1130","Delaware","10/27/16","Ipsos","A-",122,"lv",44.71,33.84,48373,75841,"DE"
"1131","Alabama","7/19/16","Strategy Research","",4100,"rv",33,57,44747,68431,"AL"
"1132","Iowa","10/22/16","Google Consumer Surveys","B",378,"lv",40.17,30.78,47368,74405,"IA"
"1133","Wyoming","10/31/16","SurveyMonkey","C-",200,"lv",21,61,48319,75686,"WY"
"1134","Maine CD-1","9/16/16","Maine People's Resource Center","C",440,"lv",40.5,29.8,45899,71688,"ME"
"1135","New Mexico","11/1/16","Zia Poll","",1102,"lv",46,43,48340,75727,"NM"
"1136","Massachusetts","10/20/16","Ipsos","A-",494,"lv",56.14,26.81,47731,74714,"MA"
"1137","Montana","10/27/16","Ipsos","A-",107,"lv",33.5,51.55,48390,75858,"MT"
"1138","Kentucky","10/22/16","Google Consumer Surveys","B",344,"lv",33.81,36.79,47373,74410,"KY"
"1139","Missouri","9/11/16","Emerson College","B",600,"lv",34,47,45815,71533,"MO"
"1140","Pennsylvania","10/17/16","Ipsos","A-",553,"lv",49.13,38.7,47219,73896,"PA"
"1141","Idaho","8/24/16","Dan Jones & Associates","C+",602,"lv",23,44,45398,70640,"ID"
"1142","Idaho","11/1/16","SurveyMonkey","C-",556,"lv",30,47,48426,75896,"ID"
"1143","Pennsylvania","8/26/16","Emerson College","B",800,"lv",45.9,42.7,45045,69099,"PA"
"1144","Kansas","10/17/16","Ipsos","A-",312,"lv",38.44,51.94,47726,74709,"KS"
"1145","Vermont","10/31/16","SurveyMonkey","C-",449,"lv",57,24,48314,75681,"VT"
"1146","Rhode Island","10/31/16","SurveyMonkey","C-",392,"lv",49,38,48308,75675,"RI"
"1147","New Mexico","11/1/16","SurveyMonkey","C-",810,"lv",41,36,48445,75915,"NM"
"1148","Mississippi","11/1/16","SurveyMonkey","C-",704,"lv",40,50,48438,75908,"MS"
"1149","Alaska","8/28/16","Moore Information","B",500,"lv",29,39,45319,69700,"AK"
"1150","North Dakota","10/31/16","SurveyMonkey","C-",276,"lv",29,56,48303,75670,"ND"
"1151","Nevada","10/17/16","Ipsos","A-",291,"lv",40.2,40.11,47738,74721,"NV"
"1152","Wyoming","10/30/16","SurveyMonkey","C-",212,"lv",21,61,48179,75448,"WY"
"1153","District of Columbia","10/17/16","Google Consumer Surveys","B",66,"lv",65.81,7.06,47110,73743,"DC"
"1154","Arkansas","10/17/16","Ipsos","A-",288,"lv",34.03,53.17,47715,74698,"AR"
"1155","Iowa","8/9/16","Suffolk University","B+",500,"lv",36,37,44826,68674,"IA"
"1156","Delaware","10/30/16","SurveyMonkey","C-",397,"lv",50,36,48137,75406,"DE"
"1157","Iowa","10/17/16","Ipsos","A-",360,"lv",44.39,41.78,47725,74708,"IA"
"1158","South Carolina","10/22/16","Google Consumer Surveys","B",322,"lv",30.14,40.94,47396,74433,"SC"
"1159","Alabama","10/22/16","Google Consumer Surveys","B",390,"lv",22.36,56.83,47357,74394,"AL"
